sample,taxa,percentage
SRR21770641,eukaryota,0.00020718625526382577
SRR21770642,eukaryota,0.16696371729106121
SRR21770643,eukaryota,0.15781489981406396
SRR21770644,eukaryota,0.41658987391533675
SRR21770645,eukaryota,0.06177195894808415
SRR21770646,eukaryota,0.3600521650380842
SRR21770647,eukaryota,0.05520713646616894
SRR21770648,eukaryota,0.16634622200889307
SRR21770649,eukaryota,0.08730632608320886
SRR21770650,eukaryota,0.21708045312766258
SRR21770651,eukaryota,0.3113378632753317
SRR21770652,eukaryota,0.32849595380144064
SRR21770653,eukaryota,0.44409402076705745
SRR21770654,eukaryota,0.9674155420080719
SRR21770655,eukaryota,0.14492061082324803
SRR21770656,eukaryota,0.49358101536666027
SRR21770657,eukaryota,0.8922161829555945
SRR21770658,eukaryota,0.06960938281468665
SRR21770659,eukaryota,0.022426958374954307
SRR21770660,eukaryota,0.2560693015032788
SRR21770661,eukaryota,0.12027357603131808
SRR21770662,eukaryota,0.0326565812641489
SRR21770663,eukaryota,0.2056094774170163
SRR21770664,eukaryota,0.17849822418467604
SRR21770666,eukaryota,0.1528391881070919
SRR21770667,eukaryota,0.008188790009121016
SRR21770668,eukaryota,0.3343231976800926
SRR21770669,eukaryota,0.3877804723276803
SRR21770670,eukaryota,0.25085110195305504
SRR21770671,eukaryota,0.005197711851738156
SRR21770672,eukaryota,0.05600678467297285
SRR21770673,eukaryota,0.3380543963536679
SRR21770674,eukaryota,0.5995325927607085
SRR21770684,eukaryota,0.6052756489249708
SRR21770685,eukaryota,0.007234772902416479
SRR21770686,eukaryota,0.09949863969922819
SRR21770687,eukaryota,0.27955351470860407
SRR21770688,eukaryota,0.2148525565876093
SRR21770689,eukaryota,0.00803744612661029
SRR21770690,eukaryota,0.025713399913896845
SRR21770691,eukaryota,
SRR21770692,eukaryota,0.081770773686989
SRR21770693,eukaryota,0.24316197584816637
SRR21770694,eukaryota,0.1179183261987585
SRR21770695,eukaryota,0.11751401841294314
SRR21770696,eukaryota,0.2519990982437708
SRR21770697,eukaryota,0.22549867173093854
SRR21770698,eukaryota,0.8402427082754285
SRR21770699,eukaryota,0.19658698474188224
SRR21770700,eukaryota,0.34947715155416936
